step,box_grad_norm,dfl_grad_norm,dfl_box_norm_ratio,grad_cosine,fg_num,loss_box,loss_dfl
1830,1.21020461e-02,3.29871592e-03,2.72575051e-01,4.52140391e-01,8769,1.49002445e+00,1.26621366e+00
1840,1.18407290e-02,3.00400052e-03,2.53700644e-01,4.53200400e-01,11167,1.63602352e+00,1.26269913e+00
1850,1.13977641e-02,3.20648425e-03,2.81325728e-01,4.57301915e-01,9166,1.41525495e+00,1.26893532e+00
1860,1.18324235e-02,3.21292318e-03,2.71535516e-01,4.48124290e-01,9432,1.50463295e+00,1.28181958e+00
1870,1.12432456e-02,3.24794999e-03,2.88880110e-01,4.64879602e-01,8948,1.45155239e+00,1.26440692e+00
1880,1.22401835e-02,3.24927480e-03,2.65459657e-01,4.38896626e-01,8999,1.45576501e+00,1.27236795e+00
1890,1.15679400e-02,3.39636556e-03,2.93601602e-01,4.45699811e-01,9324,1.49914062e+00,1.29271853e+00
1900,1.18681202e-02,3.11420485e-03,2.62400866e-01,4.74133700e-01,9120,1.43455029e+00,1.21444046e+00
1910,1.03697162e-02,3.07664508e-03,2.96695203e-01,4.67521578e-01,10222,1.42908645e+00,1.25804174e+00
1920,1.16888173e-02,3.28640104e-03,2.81157702e-01,4.37701941e-01,9401,1.51881492e+00,1.28174126e+00
1930,1.16907880e-02,3.34153557e-03,2.85826385e-01,4.30203080e-01,9918,1.56551242e+00,1.30839705e+00
1940,1.12332348e-02,3.13006109e-03,2.78642893e-01,4.56038296e-01,9950,1.46043766e+00,1.26352632e+00
1950,1.27883544e-02,3.38314939e-03,2.64549226e-01,4.57130075e-01,8200,1.46575713e+00,1.25007558e+00
1960,1.23673715e-02,3.39071383e-03,2.74166077e-01,4.40513909e-01,8226,1.39718533e+00,1.23079157e+00
1970,1.28829721e-02,3.52759194e-03,2.73818165e-01,4.31058705e-01,8341,1.55514944e+00,1.30458760e+00
1980,1.08072758e-02,2.99090147e-03,2.76748866e-01,4.56968069e-01,10557,1.45749581e+00,1.25778985e+00
1990,1.19721014e-02,3.31060146e-03,2.76526332e-01,4.49844271e-01,9085,1.47467017e+00,1.26912844e+00
2000,1.26685919e-02,3.43842199e-03,2.71413118e-01,4.40752357e-01,8344,1.51830173e+00,1.28018486e+00
2010,1.05649550e-02,3.03664850e-03,2.87426531e-01,4.74631965e-01,10784,1.51985407e+00,1.26084387e+00
2020,1.21697281e-02,3.36634228e-03,2.76616067e-01,4.43757087e-01,8708,1.49905753e+00,1.26630139e+00
2030,1.24495691e-02,3.20493686e-03,2.57433563e-01,4.51420784e-01,8836,1.46977806e+00,1.23696196e+00
2040,1.15710404e-02,2.98581482e-03,2.58042037e-01,4.42693979e-01,10169,1.46184731e+00,1.23898613e+00
2050,1.19425915e-02,3.12310690e-03,2.61509985e-01,4.59467173e-01,9592,1.52277422e+00,1.23530626e+00
2060,1.26118716e-02,3.30150430e-03,2.61777520e-01,4.62122530e-01,8361,1.44401026e+00,1.22225356e+00
2070,1.11854812e-02,2.84557790e-03,2.54399240e-01,4.63264406e-01,10964,1.43621767e+00,1.21692228e+00
2080,1.17201740e-02,3.40106362e-03,2.90188819e-01,4.66349244e-01,8255,1.41694427e+00,1.27320147e+00
2090,1.22904275e-02,2.99527892e-03,2.43708283e-01,4.38090682e-01,10825,1.60179996e+00,1.24767113e+00
2100,1.16766877e-02,3.32573568e-03,2.84818411e-01,4.32161152e-01,9175,1.46279240e+00,1.28679693e+00
2110,1.09162508e-02,3.04499851e-03,2.78941780e-01,4.60935116e-01,10640,1.50090778e+00,1.25789428e+00
2120,1.26795704e-02,3.35520762e-03,2.64615238e-01,4.49237943e-01,8898,1.53264165e+00,1.25839996e+00
2130,1.28773050e-02,3.39628616e-03,2.63742000e-01,4.38944072e-01,7573,1.38114715e+00,1.23377562e+00
2140,1.16017079e-02,3.04817269e-03,2.62734830e-01,4.60056752e-01,10198,1.50732768e+00,1.23377848e+00
2150,1.44088622e-02,3.40888905e-03,2.36582801e-01,4.21074599e-01,7771,1.43313181e+00,1.21330535e+00
2160,1.22653451e-02,3.47038754e-03,2.82942504e-01,4.58397388e-01,8019,1.45323515e+00,1.26438153e+00
2170,1.09709864e-02,3.14045488e-03,2.86250919e-01,4.60802257e-01,10404,1.55317092e+00,1.27736354e+00
