step,box_grad_norm,dfl_grad_norm,dfl_box_norm_ratio,grad_cosine,fg_num,loss_box,loss_dfl
900,1.11072455e-02,3.51770245e-03,3.16703409e-01,4.39591706e-01,7110,1.29695368e+00,1.29331446e+00
910,1.30381174e-02,3.43456911e-03,2.63425231e-01,4.21156645e-01,7202,1.38867629e+00,1.26473868e+00
920,1.22301457e-02,3.39537067e-03,2.77623087e-01,4.52495456e-01,7605,1.41754079e+00,1.26650512e+00
930,1.46420030e-02,3.37333488e-03,2.30387524e-01,4.25255835e-01,7562,1.50815010e+00,1.23498607e+00
940,1.35392752e-02,3.57590616e-03,2.64113545e-01,4.20469940e-01,6630,1.33843088e+00,1.27033901e+00
950,1.41797215e-02,3.69391218e-03,2.60506690e-01,4.38265860e-01,6201,1.41435778e+00,1.25655830e+00
960,1.26006138e-02,3.28869466e-03,2.60994792e-01,4.42513168e-01,7255,1.29922247e+00,1.19775045e+00
970,1.27209723e-02,3.57078272e-03,2.80700445e-01,4.37153608e-01,6763,1.38927436e+00,1.27932096e+00
980,1.48943830e-02,3.67321470e-03,2.46617451e-01,4.22394812e-01,5812,1.29379642e+00,1.22295403e+00
990,1.46407597e-02,3.76542658e-03,2.57187933e-01,4.33924347e-01,5698,1.39528418e+00,1.22556448e+00
1000,1.37347588e-02,3.63836740e-03,2.64902174e-01,4.24495518e-01,5875,1.30044019e+00,1.24373782e+00
1010,1.25081884e-02,3.60455527e-03,2.88175642e-01,4.11731362e-01,6701,1.31247199e+00,1.29009843e+00
1020,1.27795329e-02,3.36866640e-03,2.63598561e-01,4.03945148e-01,9321,1.62319839e+00,1.33978021e+00
1030,1.34656038e-02,3.63621837e-03,2.70037532e-01,4.35393602e-01,6492,1.43022037e+00,1.28303814e+00
1040,1.29949125e-02,3.54575412e-03,2.72857100e-01,4.08643901e-01,7142,1.40819693e+00,1.29454517e+00
1050,1.40116420e-02,3.46859847e-03,2.47551173e-01,4.10295695e-01,6297,1.29800868e+00,1.22819078e+00
1060,1.44707551e-02,3.70444870e-03,2.55995542e-01,4.16633427e-01,5950,1.37294054e+00,1.27337813e+00
1070,1.49905086e-02,3.46963806e-03,2.31455654e-01,4.10584688e-01,6751,1.43720555e+00,1.24642420e+00
1080,1.44390566e-02,3.59840691e-03,2.49213442e-01,4.24763292e-01,6587,1.52020860e+00,1.25960207e+00
1090,1.19237434e-02,3.38118197e-03,2.83567160e-01,4.13914025e-01,8339,1.44833386e+00,1.33262396e+00
1100,1.47307627e-02,3.45315249e-03,2.34417766e-01,4.25459474e-01,7909,1.64914012e+00,1.27596879e+00
1110,1.37168448e-02,3.93203087e-03,2.86657095e-01,4.34832186e-01,5272,1.29064846e+00,1.25334668e+00
1120,1.42735885e-02,3.37353675e-03,2.36348182e-01,4.23840582e-01,6937,1.34241247e+00,1.20993209e+00
1130,1.33093828e-02,3.31900199e-03,2.49373093e-01,4.25156474e-01,7611,1.45000231e+00,1.24180818e+00
1140,1.28069846e-02,3.36940214e-03,2.63090968e-01,4.35113609e-01,7723,1.47083807e+00,1.24735999e+00
1150,1.18038561e-02,3.13186971e-03,2.65325993e-01,4.17540014e-01,9781,1.55328965e+00,1.29227638e+00
1160,1.33388229e-02,3.33799445e-03,2.50246555e-01,4.24725890e-01,7255,1.37055898e+00,1.25542271e+00
1170,1.45147536e-02,3.71083175e-03,2.55659312e-01,4.22869593e-01,5814,1.31983781e+00,1.23027182e+00
1180,1.40844379e-02,3.88313970e-03,2.75704265e-01,4.01822060e-01,6890,1.57090235e+00,1.36714184e+00
1190,1.30377794e-02,3.66102997e-03,2.80801654e-01,4.17205036e-01,7012,1.46462631e+00,1.29560232e+00
1200,1.39947003e-02,3.70620377e-03,2.64829099e-01,4.09300387e-01,6278,1.40592122e+00,1.27058804e+00
1210,1.42124593e-02,3.98237631e-03,2.80203193e-01,4.32668805e-01,5257,1.33387113e+00,1.24998188e+00
1220,1.38289155e-02,3.34529486e-03,2.41905794e-01,4.24480259e-01,7554,1.45371532e+00,1.24457049e+00
1230,1.55037278e-02,3.79060302e-03,2.44496226e-01,4.34000880e-01,5354,1.36146855e+00,1.21433580e+00
